polish,english,category,subtext,accepted_answers,frequency_rank
nie,no,core,"(also: no, żadnych)","[""no"",""not"",""nope"",""nah"",""nie"",""żadnych"",""zadnych""]",1
to,this,pronoun,"(also: ten, tej, ta, temu, tę, tą)","[""this"",""it"",""that"",""to"",""ten"",""tej"",""ta"",""temu"",""tę"",""te"",""tą""]",2
się,oneself,core,"(also: sobie, siebie, sie)","[""oneself"",""self"",""himself"",""herself"",""itself"",""themselves"",""yourself"",""się"",""sie"",""sobie"",""siebie""]",3
w,in,preposition,,"[""in"",""at"",""into"",""within"",""inside""]",4
na,on,preposition,"(also: on, dnia, sprawie)","[""on"",""at"",""onto"",""for"",""upon"",""na"",""dnia"",""sprawie""]",5
i,and,conjunction,(also: a),"[""and"",""i"",""a""]",6
że,that,conjunction,,"[""that"",""so that""]",7
z,with,preposition,,"[""with"",""from"",""out of"",""of""]",8
co,what,pronoun,"(also: jaki, jakie, jaka)","[""what"",""which"",""that"",""co"",""jaki"",""jakie"",""jaka""]",9
jest,is,verb,,"[""is"",""it is"",""there is""]",10
do,to,preposition,(also: aby),"[""to"",""into"",""until"",""up to"",""do"",""aby""]",11
tak,yes,core,,"[""yes"",""yeah"",""yep"",""so"",""thus""]",12
o,about,preposition,(also: ok),"[""about"",""of"",""at"",""for"",""around"",""o"",""ok""]",13
jak,how,adverb,,"[""how"",""like"",""as"",""what""]",14
ale,but,conjunction,,"[""but"",""however"",""yet""]",16
mnie,me,adverb,"(also: mi, ja, mną)","[""me"",""mnie"",""mi"",""ja"",""mną"",""mna""]",17
za,behind,preposition,,"[""behind"",""after"",""for"",""in"",""beyond"",""past""]",19
tym,including,misc,,"[""including""]",21
tego,of this,misc,,"[""of this""]",22
ci,those,misc,,"[""those""]",23
czy,whether,conjunction,,"[""whether"",""if"",""or"",""do"",""does"",""is"",""are""]",24
go,him,pronoun,"(also: mu, niego)","[""him"",""it"",""his"",""go"",""mu"",""niego""]",25
tylko,only,adverb,(also: dopiero),"[""only"",""just"",""solely"",""tylko"",""dopiero""]",26
tu,here,adverb,(also: tutaj),"[""here"",""tu"",""tutaj""]",27
po,after,preposition,,"[""after"",""along"",""for"",""in"",""by"",""per""]",28
może,maybe,adverb,,"[""maybe"",""perhaps"",""possibly"",""can"",""could"",""may""]",29
jestem,I'm,misc,,"[""i'm""]",30
ty,you,misc,"(also: cię, ciebie, tobą, wam, tobie, wy)","[""you"",""ty"",""cię"",""cie"",""ciebie"",""tobą"",""toba"",""wam"",""tobie"",""wy""]",31
ma,has,misc,,"[""has""]",32
mam,I have,misc,,"[""i have""]",34
jesteś,you are,misc,(also: jesteście),"[""you are"",""jesteś"",""jestes"",""jesteście"",""jestescie""]",35
już,already,adverb,,"[""already"",""now"",""yet"",""anymore""]",36
dla,for,misc,,"[""for""]",37
jeśli,if,misc,"(also: gdyby, jeżeli)","[""if"",""jeśli"",""jesli"",""gdyby"",""jeżeli"",""jezeli""]",38
wiem,know,misc,(also: wiedzieć),"[""know"",""wiem"",""wiedzieć"",""wiedziec""]",39
coś,sth.,misc,(also: czegoś),"[""sth."",""coś"",""cos"",""czegoś"",""czegos""]",40
więc,so,conjunction,,"[""so"",""therefore"",""thus"",""hence""]",41
dobrze,well,adverb,(also: cóż),"[""well"",""good"",""okay"",""ok"",""alright"",""fine"",""dobrze"",""cóż"",""coz""]",42
teraz,now,misc,,"[""now""]",43
od,from,preposition,"(also: ze, ode)","[""from"",""since"",""of"",""away from"",""od"",""ze"",""ode""]",44
pan,sir,noun,(also: sir),"[""sir"",""mr"",""you"",""gentleman"",""pan""]",45
wszystko,everything,misc,(also: wszystkiego),"[""everything"",""wszystko"",""wszystkiego""]",46
być,to be,verb,,"[""to be"",""be""]",47
masz,you have,misc,(also: macie),"[""you have"",""masz"",""macie""]",48
nic,nothing,misc,,"[""nothing""]",49
tam,there,adverb,,"[""there""]",50
będzie,will be,misc,"(also: będą, zostanie)","[""will be"",""będzie"",""bedzie"",""będą"",""beda"",""zostanie""]",51
proszę,please,misc,(also: należy),"[""please"",""proszę"",""prosze"",""należy"",""nalezy""]",52
mogę,I can,misc,,"[""i can""]",53
są,are,verb,,"[""are"",""they are"",""there are""]",54
jej,her,pronoun,,"[""her"",""hers"",""its""]",55
gdzie,where,adverb,(also: dokąd),"[""where"",""wherever"",""gdzie"",""dokąd"",""dokad""]",58
kiedy,when,adverb,(also: gdy),"[""when"",""while"",""as"",""whenever"",""kiedy"",""gdy""]",59
wiesz,you know,misc,"(also: znasz, wiecie)","[""you know"",""wiesz"",""znasz"",""wiecie""]",62
był,was,verb,"(also: było, była, was)","[""was"",""had been"",""był"",""byl"",""było"",""bylo"",""była"",""byla""]",64
bardzo,very,adverb,,"[""very"",""much"",""greatly"",""a lot""]",65
by,by,misc,,"[""by""]",66
przez,through,preposition,,"[""through"",""across"",""by"",""via"",""for"",""because of""]",68
jego,its,misc,"(also: swoje, swoją, swój, swojego, swojej, swoich)","[""its"",""jego"",""swoje"",""swoją"",""swoja"",""swój"",""swoj"",""swojego"",""swojej"",""swoich""]",69
dlaczego,why,misc,(also: czemu),"[""why"",""dlaczego"",""czemu""]",70
chcę,I want,misc,,"[""i want""]",71
jeszcze,still,adverb,"(also: nadal, wciąż, ciągle)","[""still"",""yet"",""even"",""more"",""another"",""jeszcze"",""nadal"",""wciąż"",""wciaz"",""ciągle"",""ciagle""]",72
mój,my,misc,"(also: moja, moje, moim, mojego, moją, mojej, moich)","[""my"",""mój"",""moj"",""moja"",""moje"",""moim"",""mojego"",""moją"",""mojej"",""moich""]",73
ją,it,misc,"(also: nią, niej)","[""it"",""ją"",""ja"",""nią"",""nia"",""niej""]",74
pani,ma'am,noun,,"[""ma'am"",""mrs"",""ms"",""miss"",""you"",""lady""]",75
nas,us,misc,"(also: nam, my, nami)","[""us"",""nas"",""nam"",""my"",""nami""]",76
żeby,so that,misc,(also: żebyś),"[""so that"",""żeby"",""zeby"",""żebyś"",""zebys""]",78
chcesz,want,misc,"(also: chcą, chcecie)","[""want"",""chcesz"",""chcą"",""chca"",""chcecie""]",79
ich,their,pronoun,,"[""their"",""theirs"",""them""]",80
bo,because,conjunction,,"[""because"",""for"",""since"",""as""]",82
też,also,adverb,"(also: również, także)","[""also"",""too"",""as well"",""też"",""tez"",""również"",""rowniez"",""także"",""takze""]",83
nigdy,never,misc,,"[""never""]",84
naprawdę,really,misc,,"[""really""]",85
mamy,we have,misc,,"[""we have""]",86
kto,who,misc,(also: którzy),"[""who"",""kto"",""którzy"",""ktorzy""]",87
możesz,you can,misc,(also: możecie),"[""you can"",""możesz"",""mozesz"",""możecie"",""mozecie""]",88
przepraszam,sorry,misc,(also: przykro),"[""sorry"",""przepraszam"",""przykro""]",89
dobra,goods,misc,,"[""goods""]",90
porządku,order,misc,,"[""order""]",92
muszę,I have to,misc,,"[""i have to""]",93
ona,she,adjective,,"[""she""]",94
nawet,even,misc,,"[""even""]",95
chyba,probably,misc,(also: pewnie),"[""probably"",""chyba"",""pewnie""]",96
dziękuję,thank you,misc,,"[""thank you""]",97
domu,home,misc,(also: dom),"[""home"",""domu"",""dom""]",99
zrobić,make,verb,,"[""make""]",100
prawda,truth,misc,(also: prawdę),"[""truth"",""prawda"",""prawdę"",""prawde""]",101
właśnie,just,adverb,(also: wystarczy),"[""just"",""właśnie"",""wlasnie"",""wystarczy""]",102
hej,Hey,misc,,"[""hey""]",103
będę,I'll be,misc,,"[""i'll be""]",105
te,these,misc,(also: tych),"[""these"",""te"",""tych""]",106
zawsze,always,misc,,"[""always""]",107
nim,before,misc,"(also: przed, zanim)","[""before"",""nim"",""przed"",""zanim""]",110
musisz,you must,misc,,"[""you must""]",111
je,them,misc,"(also: oni, nich, one)","[""them"",""je"",""oni"",""nich"",""one""]",112
trochę,little,misc,(also: mały),"[""little"",""trochę"",""troche"",""mały"",""maly""]",113
dzięki,thanks to,misc,,"[""thanks to""]",115
bez,without,preposition,,"[""without""]",116
ktoś,someone,misc,"(also: kogoś, kimś)","[""someone"",""ktoś"",""ktos"",""kogoś"",""kogos"",""kimś"",""kims""]",117
panie,Mr.,noun,"(also: pana, panu)","[""mr."",""panie"",""pana"",""panu""]",118
jesteśmy,we are,misc,,"[""we are""]",119
powiedzieć,say,verb,"(also: powiedz, powiem, mów, powiesz, mówią)","[""say"",""powiedzieć"",""powiedziec"",""powiedz"",""powiem"",""mów"",""mow"",""powiesz"",""mówią"",""mowia""]",121
który,which,pronoun,"(also: które, która, którą, którym, jaką)","[""which"",""who"",""that"",""który"",""ktory"",""które"",""ktore"",""która"",""ktora"",""którą"",""którym"",""ktorym"",""jaką"",""jaka""]",122
twój,your,misc,"(also: twoja, twoje, twoim, twojej, twoją, twojego, twoich)","[""your"",""twój"",""twoj"",""twoja"",""twoje"",""twoim"",""twojej"",""twoją"",""twojego"",""twoich""]",123
czas,time,misc,"(also: czasu, czasie)","[""time"",""czas"",""czasu"",""czasie""]",124
więcej,more,misc,(also: bardziej),"[""more"",""więcej"",""wiecej"",""bardziej""]",125
lat,years,misc,(also: lata),"[""years"",""lat"",""lata""]",126
prostu,simply,misc,,"[""simply""]",127
chce,wants,misc,,"[""wants""]",128
musimy,we must,misc,,"[""we must""]",130
wszyscy,all,misc,"(also: wszystkie, wszystkich, wszystkim)","[""all"",""wszyscy"",""wszystkie"",""wszystkich"",""wszystkim""]",131
możemy,we can,misc,,"[""we can""]",133
albo,or,misc,(also: lub),"[""or"",""albo"",""lub""]",134
chodzi,goes,misc,(also: idzie),"[""goes"",""chodzi"",""idzie""]",135
cześć,honor,misc,,"[""honor""]",136
razem,together,misc,,"[""together""]",137
stało,stood,misc,,"[""stood""]",138
czego,of which,misc,"(also: którego, których, której)","[""of which"",""czego"",""którego"",""ktorego"",""których"",""ktorych"",""której"",""ktorej""]",139
sam,alone,misc,(also: sama),"[""alone"",""sam"",""sama""]",141
myślę,think,misc,(also: myślisz),"[""think"",""myślę"",""mysle"",""myślisz"",""myslisz""]",142
boże,idol,misc,,"[""idol""]",143
dalej,further,misc,,"[""further""]",146
raz,once,misc,,"[""once""]",147
będziesz,you'll be,misc,,"[""you'll be""]",149
ludzie,people,misc,(also: ludzi),"[""people"",""ludzie"",""ludzi""]",150
czym,with what,misc,,"[""with what""]",151
niż,than,misc,,"[""than""]",152
dobry,good,misc,(also: dobre),"[""good"",""dobry"",""dobre""]",155
życie,life,noun,(also: życiu),"[""life"",""życie"",""zycie"",""życiu"",""zyciu""]",157
lepiej,better,misc,,"[""better""]",158
przy,near,preposition,,"[""near"",""by"",""at"",""with"",""next to""]",159
rzeczy,stuff,misc,,"[""stuff""]",160
dzień,day,misc,,"[""day""]",161
miał,had,misc,(also: miała),"[""had"",""miał"",""mial"",""miała"",""miala""]",163
robisz,you do,misc,,"[""you do""]",164
niech,let,misc,(also: pozwól),"[""let"",""niech"",""pozwól"",""pozwol""]",166
kim,kim,misc,,"[""kim""]",168
daj,Give,misc,,"[""give""]",169
chodź,come,misc,,"[""come""]",171
powiedział,said,misc,"(also: powiedziałem, mówiłem, mówił)","[""said"",""powiedział"",""powiedzial"",""powiedziałem"",""powiedzialem"",""mówiłem"",""mowilem"",""mówił"",""mowil""]",175
oczywiście,of course,noun,,"[""of course""]",181
u,u,misc,,"[""u""]",182
nikt,no one,misc,(also: nikogo),"[""no one"",""nikt"",""nikogo""]",183
musi,must,misc,(also: trzeba),"[""must"",""musi"",""trzeba""]",184
pod,under,preposition,,"[""under"",""below"",""beneath"",""near""]",187
dlatego,therefore,misc,,"[""therefore""]",188
wtedy,then,misc,(also: potem),"[""then"",""wtedy"",""potem""]",189
jeden,one,misc,"(also: jedno, jedną, jedna, jednego, jednym)","[""one"",""jeden"",""jedno"",""jedną"",""jedna"",""jednego"",""jednym""]",190
wygląda,looks,misc,,"[""looks""]",191
mówi,says,misc,,"[""says""]",194
im,im,misc,,"[""im""]",195
taki,such,misc,"(also: takie, takiego, taka, takim, takich, taką)","[""such"",""taki"",""takie"",""takiego"",""taka"",""takim"",""takich"",""taką""]",196
znaczy,means,misc,(also: oznacza),"[""means"",""znaczy"",""oznacza""]",198
