polish,english,category,subtext,accepted_answers,frequency_rank
ukrywasz,hide,misc,,"[""hide""]",1
kolejnych,further,misc,,"[""further""]",2
zatrzymam,I'll keep,misc,,"[""i'll keep""]",3
odpowiadać,reply to,misc,,"[""reply to""]",4
szału,craze,misc,,"[""craze""]",5
salę,room,misc,"(also: sala, pomieszczeniu, pomieszczenie)","[""room"",""salę"",""sale"",""sala"",""pomieszczeniu"",""pomieszczenie""]",6
pierwsi,first,misc,,"[""first""]",7
reputację,reputation,misc,,"[""reputation""]",8
ludzka,human,misc,"(also: ludzkiego, ludzką, ludzkich, ludzki)","[""human"",""ludzka"",""ludzkiego"",""ludzką"",""ludzkich"",""ludzki""]",9
ożenić,marry,verb,,"[""marry""]",10
osłony,covers,adjective,,"[""covers""]",11
owen,owen,misc,,"[""owen""]",12
polowanie,hunting,noun,,"[""hunting""]",13
wpadła,dropped by,misc,(also: wpadłam),"[""dropped by"",""wpadła"",""wpadla"",""wpadłam"",""wpadlam""]",14
ciężarówka,truck,misc,,"[""truck""]",15
kij,stick,misc,,"[""stick""]",16
debbie,debbie,misc,,"[""debbie""]",17
chin,chin,misc,,"[""chin""]",18
zostawiam,leave a,misc,,"[""leave a""]",19
santa,santa,misc,,"[""santa""]",20
siostrze,sister,adverb,,"[""sister""]",21
puls,pulse,misc,,"[""pulse""]",22
godzinach,hours,misc,(also: godzinami),"[""hours"",""godzinach"",""godzinami""]",23
dziura,hole,misc,,"[""hole""]",24
cali,inches,misc,,"[""inches""]",25
cindy,cindy,misc,,"[""cindy""]",26
wypełnić,fill out,verb,,"[""fill out""]",27
śmiech,laughter,misc,(also: śmiechu),"[""laughter"",""śmiech"",""smiech"",""śmiechu"",""smiechu""]",28
psie,dog,misc,,"[""dog""]",29
kończę,end,misc,"(also: kończą, kończymy)","[""end"",""kończę"",""koncze"",""kończą"",""koncza"",""kończymy"",""konczymy""]",30
ustawić,set up,verb,,"[""set up""]",31
obrona,defense,adjective,"(also: obronie, obronę)","[""defense"",""obrona"",""obronie"",""obronę"",""obrone""]",32
popełniłem,committed,misc,,"[""committed""]",33
wybuchu,blast,misc,(also: wysadzić),"[""blast"",""wybuchu"",""wysadzić"",""wysadzic""]",34
czarnej,black,misc,(also: czarni),"[""black"",""czarnej"",""czarni""]",35
odebrał,picked up,misc,,"[""picked up""]",36
