polish,english,category,subtext,accepted_answers,frequency_rank
umyj,,misc,,[],1
zdradziłeś,,misc,,[],2
przyznaje,,misc,,[],3
damą,,misc,,[],4
zwrócę,,misc,,[],5
wyłączony,,adjective,,[],6
bójkę,,misc,,[],7
maila,,misc,,[],8
student,,misc,,[],9
znanych,,misc,,[],10
nerwów,,misc,,[],11
krem,,misc,,[],12
śniło,,misc,,[],13
ominąć,,verb,,[],14
obserwują,,misc,,[],15
analizę,,misc,,[],16
cathy,,misc,,[],17
przysłała,,misc,,[],18
podróże,,misc,,[],19
wyobrażałem,,misc,,[],20
użycia,,misc,,[],21
gail,,misc,,[],22
znajduję,,misc,,[],23
wizerunek,,misc,,[],24
fabryka,,misc,,[],25
zwolniona,,adjective,,[],26
detektywi,,misc,,[],27
tyły,,misc,,[],28
pomijając,,misc,,[],29
budowę,,misc,,[],30
inteligencji,,misc,,[],31
american,,misc,,[],32
słodkich,,misc,,[],33
podzielimy,,misc,,[],34
wypadki,,misc,,[],35
zbiornik,,misc,,[],36
przyprowadził,,misc,,[],37
bella,,misc,,[],38
silniejsza,,misc,,[],39
kochali,,misc,,[],40
toaleta,,misc,,[],41
weszłam,,misc,,[],42
sadie,,misc,,[],43
zabici,,misc,,[],44
odbywa,,adjective,,[],45
robbie,,misc,,[],46
niszczyć,,verb,,[],47
przybywa,,adjective,,[],48
doprowadziło,,misc,,[],49
czułaś,,misc,,[],50
marcy,,misc,,[],51
wydam,,misc,,[],52
zamieszania,,noun,,[],53
kolekcję,,misc,,[],54
obrazów,,misc,,[],55
staliśmy,,misc,,[],56
sojusz,,misc,,[],57
diament,,misc,,[],58
poprowadzę,,misc,,[],59
prądem,,misc,,[],60
oblicze,,misc,,[],61
najczęściej,,misc,,[],62
hrabia,,misc,,[],63
powiedziałby,,misc,,[],64
obydwaj,,misc,,[],65
zawołam,,misc,,[],66
szukanie,,noun,,[],67
trzymali,,misc,,[],68
mądrości,,misc,,[],69
andrea,,misc,,[],70
tammy,,misc,,[],71
pomogli,,misc,,[],72
władcy,,misc,,[],73
umrą,,misc,,[],74
prochów,,misc,,[],75
clarke,,misc,,[],76
zbieram,,misc,,[],77
reklama,,misc,,[],78
mieszkałem,,misc,,[],79
pokazałem,,misc,,[],80
przedstawił,,misc,,[],81
zamiary,,misc,,[],82
budżet,,misc,,[],83
medycznych,,misc,,[],84
wysyłają,,misc,,[],85
scotta,,misc,,[],86
atmosfera,,misc,,[],87
zagraj,,misc,,[],88
zwykłych,,misc,,[],89
wiedziec,,misc,,[],90
pogarsza,,misc,,[],91
krajem,,misc,,[],92
graczem,,misc,,[],93
wspomniała,,misc,,[],94
złamała,,misc,,[],95
oszczędzić,,verb,,[],96
maszyną,,misc,,[],97
rejonie,,adverb,,[],98
dziwną,,misc,,[],99
złapałeś,,misc,,[],100
szefowo,,adverb,,[],101
silni,,misc,,[],102
podejrzane,,adjective,,[],103
hrabstwa,,adjective,,[],104
bates,,misc,,[],105
chorzy,,misc,,[],106
skrzyni,,misc,,[],107
praktyki,,misc,,[],108
rzućcie,,noun,,[],109
square,,misc,,[],110
patrzymy,,misc,,[],111
pościg,,misc,,[],112
kiepskie,,adjective,,[],113
lalka,,misc,,[],114
podawać,,misc,,[],115
briana,,adjective,,[],116
najważniejszą,,misc,,[],117
bawiłam,,misc,,[],118
lojalny,,adjective,,[],119
kręgle,,misc,,[],120
prób,,misc,,[],121
samochodowym,,misc,,[],122
budzić,,verb,,[],123
ella,,misc,,[],124
równa,,adjective,,[],125
zauważyła,,misc,,[],126
podatków,,misc,,[],127
prostą,,misc,,[],128
zniszczyła,,misc,,[],129
pomyślisz,,misc,,[],130
brien,,misc,,[],131
mars,,misc,,[],132
zapomnieli,,misc,,[],133
oznak,,misc,,[],134
ukrywał,,misc,,[],135
hiszpańsku,,misc,,[],136
gapić,,verb,,[],137
oddała,,misc,,[],138
uzbrojeni,,misc,,[],139
królowi,,misc,,[],140
latem,,misc,,[],141
palantem,,misc,,[],142
odpowiedzią,,misc,,[],143
marsa,,misc,,[],144
cofnijcie,,noun,,[],145
fizyki,,misc,,[],146
wymówki,,misc,,[],147
świadczy,,misc,,[],148
przybyłeś,,misc,,[],149
zagrajmy,,misc,,[],150
zmieniam,,misc,,[],151
śmieszna,,adjective,,[],152
ciekawie,,adverb,,[],153
kompletny,,adjective,,[],154
zapłacimy,,misc,,[],155
okolicach,,misc,,[],156
lyle,,misc,,[],157
podjął,,misc,,[],158
czaszkę,,misc,,[],159
zatrzymany,,adjective,,[],160
bronił,,misc,,[],161
wyjmij,,misc,,[],162
prezentuje,,misc,,[],163
przeklęte,,misc,,[],164
edie,,misc,,[],165
trzymając,,misc,,[],166
country,,misc,,[],167
przykrywka,,misc,,[],168
umówieni,,misc,,[],169
kopii,,misc,,[],170
wynagrodzić,,verb,,[],171
tate,,misc,,[],172
musiałbyś,,misc,,[],173
pomarańczowy,,adjective,,[],174
komendant,,misc,,[],175
piła,,misc,,[],176
licencję,,misc,,[],177
spodziewałeś,,misc,,[],178
kupiliśmy,,misc,,[],179
minęła,,misc,,[],180
przesada,,misc,,[],181
porozmawiasz,,misc,,[],182
nodze,,misc,,[],183
znalezienia,,noun,,[],184
niepokój,,misc,,[],185
warzywa,,adjective,,[],186
kiepska,,adjective,,[],187
parze,,adverb,,[],188
zainteresowani,,misc,,[],189
leku,,misc,,[],190
spłukany,,adjective,,[],191
crichton,,misc,,[],192
kryjówki,,misc,,[],193
buzz,,misc,,[],194
ariel,,misc,,[],195
rozpoczyna,,adjective,,[],196
keller,,misc,,[],197
przytulić,,verb,,[],198
kopa,,misc,,[],199
kratki,,misc,,[],200
wanna,,adjective,,[],201
odprowadzić,,verb,,[],202
taśmie,,misc,,[],203
elvis,,misc,,[],204
zaklęcia,,misc,,[],205
pomyślmy,,misc,,[],206
szczęściem,,misc,,[],207
zajebiste,,misc,,[],208
domowa,,adjective,,[],209
jabłka,,misc,,[],210
wyzwania,,noun,,[],211
zdobyłeś,,misc,,[],212
bowiem,,misc,,[],213
popływać,,misc,,[],214
itd,,misc,,[],215
wygrana,,adjective,,[],216
faith,,misc,,[],217
poważną,,misc,,[],218
wewnętrznych,,misc,,[],219
brzydka,,misc,,[],220
pojechaliśmy,,misc,,[],221
wariactwo,,misc,,[],222
kumplu,,misc,,[],223
przenigdy,,misc,,[],224
zmienimy,,misc,,[],225
zaproszony,,adjective,,[],226
brytanii,,misc,,[],227
matta,,misc,,[],228
podziękowania,,noun,,[],229
zagadka,,misc,,[],230
ktora,,misc,,[],231
mądrzejszy,,misc,,[],232
odpada,,misc,,[],233
sportu,,misc,,[],234
domowy,,adjective,,[],235
wspólnik,,misc,,[],236
chłopcami,,misc,,[],237
szalenie,,noun,,[],238
właściwa,,adjective,,[],239
yes,,misc,,[],240
życiowe,,adjective,,[],241
czerwonych,,misc,,[],242
oddamy,,misc,,[],243
zapas,,misc,,[],244
sesję,,misc,,[],245
przyszłością,,misc,,[],246
dyżur,,misc,,[],247
przemawia,,misc,,[],248
oczekiwałem,,misc,,[],249
ścieżka,,misc,,[],250
mediów,,misc,,[],251
smaczne,,adjective,,[],252
kaczki,,misc,,[],253
jardów,,misc,,[],254
rozkład,,misc,,[],255
porażki,,misc,,[],256
potwierdził,,misc,,[],257
znajomymi,,misc,,[],258
prywatnej,,misc,,[],259
wezwijcie,,noun,,[],260
dokładny,,adjective,,[],261
wypuścili,,misc,,[],262
poddam,,misc,,[],263
utknął,,misc,,[],264
reszcie,,noun,,[],265
wysłaliśmy,,misc,,[],266
znając,,misc,,[],267
czeki,,misc,,[],268
działamy,,misc,,[],269
kid,,misc,,[],270
klątwę,,misc,,[],271
cho,,misc,,[],272
zdejmę,,misc,,[],273
gardle,,misc,,[],274
zapamiętam,,misc,,[],275
wschodnim,,misc,,[],276
zazdrości,,misc,,[],277
przypomniałem,,misc,,[],278
pisanie,,noun,,[],279
szyby,,misc,,[],280
tronu,,misc,,[],281
hughes,,misc,,[],282
wizytą,,misc,,[],283
ochotnika,,misc,,[],284
działało,,misc,,[],285
opuściłem,,misc,,[],286
porwana,,adjective,,[],287
wysoką,,misc,,[],288
terroryzm,,misc,,[],289
wymyśl,,misc,,[],290
ruszył,,misc,,[],291
rodu,,misc,,[],292
wspomniałem,,misc,,[],293
nicholas,,misc,,[],294
telefonicznej,,misc,,[],295
przepustkę,,misc,,[],296
komory,,misc,,[],297
poznajcie,,noun,,[],298
historyjkę,,misc,,[],299
spowodowane,,adjective,,[],300
zasadniczo,,misc,,[],301
zatoki,,misc,,[],302
gregory,,misc,,[],303
wytłumacz,,misc,,[],304
ukryciu,,misc,,[],305
odkryli,,misc,,[],306
zobaczyc,,misc,,[],307
przedyskutować,,verb,,[],308
boom,,misc,,[],309
fryzurę,,misc,,[],310
aeryn,,misc,,[],311
fryzura,,misc,,[],312
przygotował,,misc,,[],313
alexis,,misc,,[],314
niskie,,adjective,,[],315
tradycji,,misc,,[],316
polska,,adjective,,[],317
światów,,misc,,[],318
lucky,,misc,,[],319
oficerowie,,adverb,,[],320
sumę,,misc,,[],321
pakuj,,misc,,[],322
awaryjne,,adjective,,[],323
włączając,,misc,,[],324
ministra,,misc,,[],325
wymagają,,misc,,[],326
afganistanie,,noun,,[],327
zadowolić,,verb,,[],328
dziecino,,misc,,[],329
rzuci,,misc,,[],330
del,,misc,,[],331
drobiazg,,misc,,[],332
sięga,,misc,,[],333
lynette,,misc,,[],334
kazać,,misc,,[],335
waltera,,misc,,[],336
rozwiąże,,misc,,[],337
zabrałam,,misc,,[],338
robercie,,noun,,[],339
zabawimy,,misc,,[],340
ujrzałem,,misc,,[],341
istocie,,noun,,[],342
wizytówkę,,misc,,[],343
janice,,misc,,[],344
jezusie,,misc,,[],345
fajnego,,misc,,[],346
oszukiwać,,misc,,[],347
prześpij,,misc,,[],348
skrzydło,,misc,,[],349
wesela,,misc,,[],350
zamienił,,misc,,[],351
zimy,,misc,,[],352
słońcem,,misc,,[],353
kręgosłup,,misc,,[],354
baczność,,noun,,[],355
lorenzo,,misc,,[],356
cudów,,misc,,[],357
odebrała,,misc,,[],358
wchodził,,misc,,[],359
szósty,,misc,,[],360
stanowisku,,misc,,[],361
starymi,,misc,,[],362
ide,,misc,,[],363
wierny,,adjective,,[],364
klaus,,misc,,[],365
porównać,,misc,,[],366
rocznicę,,misc,,[],367
meksyk,,misc,,[],368
elektryczne,,adjective,,[],369
zdradzę,,misc,,[],370
popołudniu,,misc,,[],371
odwiedzać,,misc,,[],372
recepcji,,misc,,[],373
projektem,,misc,,[],374
pułapki,,misc,,[],375
wielce,,misc,,[],376
poprawnie,,adverb,,[],377
wybierzesz,,misc,,[],378
niewiarygodnie,,adverb,,[],379
brzydkie,,misc,,[],380
isabelle,,misc,,[],381
opuścisz,,misc,,[],382
szatan,,misc,,[],383
puszki,,misc,,[],384
zbudowany,,adjective,,[],385
posiadania,,noun,,[],386
nici,,misc,,[],387
spojrzenia,,noun,,[],388
palancie,,noun,,[],389
złapała,,misc,,[],390
stracony,,adjective,,[],391
spóźniłem,,misc,,[],392
przeprowadził,,misc,,[],393
dzielimy,,misc,,[],394
różnice,,misc,,[],395
drobny,,adjective,,[],396
użyte,,misc,,[],397
nieśmiały,,misc,,[],398
dotarłem,,misc,,[],399
biegu,,misc,,[],400
zwalniam,,misc,,[],401
cholernej,,misc,,[],402
dotyk,,misc,,[],403
north,,misc,,[],404
brakować,,verb,,[],405
portal,,misc,,[],406
koledżu,,misc,,[],407
psiakrew,,misc,,[],408
spania,,noun,,[],409
różnymi,,misc,,[],410
wszystkiemu,,misc,,[],411
nazwali,,misc,,[],412
koleżanki,,misc,,[],413
addison,,misc,,[],414
pojazdu,,misc,,[],415
spotykają,,misc,,[],416
pilocie,,noun,,[],417
zdejmuj,,misc,,[],418
spiesz,,misc,,[],419
ptaszek,,misc,,[],420
luis,,misc,,[],421
francja,,misc,,[],422
miód,,misc,,[],423
karmić,,verb,,[],424
żenujące,,misc,,[],425
sąsiada,,misc,,[],426
poćwiczyć,,verb,,[],427
pomylić,,verb,,[],428
christina,,adjective,,[],429
polly,,misc,,[],430
jadłam,,misc,,[],431
długiej,,misc,,[],432
macgyver,,misc,,[],433
piją,,misc,,[],434
uszkodzone,,adjective,,[],435
spieszy,,misc,,[],436
znaczeniu,,misc,,[],437
ignorować,,verb,,[],438
niemiecki,,misc,,[],439
pacjentka,,misc,,[],440
dowiedziałaś,,misc,,[],441
identyczne,,adjective,,[],442
złamie,,misc,,[],443
marynarka,,misc,,[],444
francuskiego,,misc,,[],445
nieznany,,adjective,,[],446
ewakuować,,verb,,[],447
odrzucić,,verb,,[],448
przywieźć,,misc,,[],449
spali,,misc,,[],450
niesamowitą,,misc,,[],451
lęk,,misc,,[],452
trenować,,verb,,[],453
uwielbiasz,,misc,,[],454
wybrzeże,,misc,,[],455
bad,,misc,,[],456
think,,misc,,[],457
naprzeciw,,misc,,[],458
amerykaninem,,misc,,[],459
uzależniony,,adjective,,[],460
woła,,misc,,[],461
niecałe,,misc,,[],462
kodeks,,misc,,[],463
wzrasta,,misc,,[],464
zasługa,,misc,,[],465
federalnych,,misc,,[],466
dzisiejszą,,misc,,[],467
porsche,,misc,,[],468
śmieją,,misc,,[],469
tani,,misc,,[],470
too,,misc,,[],471
rzeką,,misc,,[],472
presją,,misc,,[],473
zapisane,,adjective,,[],474
walsh,,misc,,[],475
wdzięczności,,misc,,[],476
wliczając,,misc,,[],477
sektor,,misc,,[],478
dotyczących,,misc,,[],479
granat,,misc,,[],480
dzielnica,,misc,,[],481
off,,misc,,[],482
bierzmy,,misc,,[],483
dotykał,,misc,,[],484
hayley,,misc,,[],485
ścieżką,,misc,,[],486
śledczy,,misc,,[],487
zakochać,,misc,,[],488
możliwy,,adjective,,[],489
podajcie,,noun,,[],490
zanieś,,misc,,[],491
zabijcie,,noun,,[],492
leż,,misc,,[],493
toku,,misc,,[],494
samotne,,adjective,,[],495
szczura,,misc,,[],496
staję,,misc,,[],497
północny,,adjective,,[],498
piątka,,misc,,[],499
piłką,,misc,,[],500
mówiono,,misc,,[],501
sejfu,,misc,,[],502
włożył,,misc,,[],503
dociera,,misc,,[],504
wypił,,misc,,[],505
sezonie,,adverb,,[],506
skoczę,,misc,,[],507
dwudziestu,,misc,,[],508
valerie,,misc,,[],509
seksualnym,,misc,,[],510
urządzić,,verb,,[],511
stycznia,,noun,,[],512
wyjątkowym,,misc,,[],513
powitać,,misc,,[],514
wykopać,,misc,,[],515
zapowiada,,misc,,[],516
kredytową,,misc,,[],517
strzelanina,,adjective,,[],518
okropnego,,misc,,[],519
edith,,misc,,[],520
abigail,,misc,,[],521
wystraszyć,,verb,,[],522
zmierzamy,,misc,,[],523
niewinne,,adjective,,[],524
zagadki,,misc,,[],525
wypadkiem,,misc,,[],526
federalnym,,misc,,[],527
brałeś,,misc,,[],528
where,,misc,,[],529
billie,,misc,,[],530
wdzięczność,,noun,,[],531
zmartwiony,,adjective,,[],532
spoza,,misc,,[],533
